,precision,recall,f1-score,support
-1,0.9778414796281857,0.8932841366233634,0.9336522083793078,390270.0
1,0.13665008291873965,0.45487165332597296,0.2101638717082191,14492.0
accuracy,0.8775873229206299,0.8775873229206299,0.8775873229206299,0.8775873229206299
macro avg,0.5572457812734627,0.6740778949746682,0.5719080400437635,404762.0
weighted avg,0.947723667874332,0.8775873229206299,0.9077486083006506,404762.0
